category,name,unit,unit_price_cad_low,unit_price_cad_typical,unit_price_cad_high,source_url,last_verified,notes
paint,Primer - Interior (per gallon),gal,,55.00,,https://store.benjaminmoore.com/storefront/ca/en/,2026-05-03,Source: Ontario / Canada range. BM Fresh Start or equivalent interior primer ~$50–$65/gal in Ontario. Manual verification at local dealer recommended
paint,Stain - Interior/Exterior (per gallon),gal,,65.00,,https://store.benjaminmoore.com/storefront/ca/en/,2026-05-03,Source: Ontario / Canada range. BM Arborcoat or Cabot stain ~$60–$75/gal in Ontario. Manual verification at local dealer recommended
paint,Polyurethane Oil-Based (per gallon),gal,,70.00,,https://store.benjaminmoore.com/storefront/ca/en/,2026-05-03,Source: Ontario / Canada range. General Finishes or Varathane oil-based poly ~$65–$80/gal in Ontario. Manual verification at local dealer recommended
plumbing_fixtures,Kitchen Faucet Mid-Tier (each),each,,250.00,,https://www.dupontplumbing.com/blogs/the-good-book-of-bath/bathroom-renovation-costs-in-toronto-what-to-expec/,2026-05-03,Source: Ontario / Canada range. Mid-range kitchen faucet Chrome/Nickel: $150–$400 retail Canada. Use $250 as mid-point. Manual verification at local supplier recommended
plumbing_fixtures,Bathroom Faucet Mid-Tier (each),each,,150.00,,https://www.dupontplumbing.com/blogs/the-good-book-of-bath/bathroom-renovation-costs-in-toronto-what-to-expec/,2026-05-03,Source: Ontario / Canada range. Mid-range bath faucet: $80–$300. Use $150 as representative mid-tier. Manual verification at local supplier recommended
kitchen,Stock Kitchen Cabinet Mid-Tier (per linear foot),lf,,250.00,,https://ottawageneralcontractors.com/blog/how-much-do-kitchen-cabinets-cost-ottawa,2026-05-03,Source: Ontario / Canada range. Ottawa General Contractors 2025: stock cabinets $160–$380/LF. Canadian national: $100–$400/LF supply only. Use $250 as mid-tier Muskoka estimate. IKEA (~$200/LF) or Home Depot stock available for reference
kitchen,Quartz Countertop Installed (per sqft),sqft,,85.00,,https://www.naturalstonecity.com/blog/quartz-countertop-cost-guide-2025-what-youll-really-pay-in-ontario,2026-05-03,Source: Ontario province range. Natural Stone City Ontario 2026: entry-level installed $55–$75/sqft; mid-range $75–$100/sqft. Use $85 for Muskoka mid-range (slight rural premium). Manual quote from local fabricator strongly recommended
kitchen,Granite Countertop Installed (per sqft),sqft,,75.00,,https://masterscountertops.com/how-much-do-granite-countertops-cost-in-2025/,2026-05-03,Source: Ontario / Canada range. Masters Countertops 2025: granite installed $45–$100/sqft. Ontario mid-tier ~$65–$85/sqft. Use $75. Manual quote from local fabricator strongly recommended
kitchen,Tile Backsplash Installed (per sqft),sqft,,22.00,,https://www.dupontplumbing.com/blogs/the-good-book-of-bath/bathroom-renovation-costs-in-toronto-what-to-expec/,2026-05-03,Source: Ontario / Canada range. Dupont Plumbing Toronto 2025: tile installation $12–$20/sqft; ceramic $5–$10/sqft tile material. Combined installed backsplash ~$18–$28/sqft. Use $22 for Muskoka mid-tier
hardware,Vinyl Casement Window Mid-Size (each),each,,750.00,,https://www.ecolinewindows.ca/window-prices/,2026-05-03,"Source: Ontario / Canada range. Ecoline Windows 2026: Ontario double-pane casement $650–$790 supply-only; triple-pane $730–$790. Mid-size with installation ~$800–$1,200. Use $750 supply-only for standard mid-size casement. Local Muskoka installer markup applies"
exterior,Cedar Shingles Siding/Roofing (per square = 100 sqft),square,,750.00,,https://jdwoodrevival.com/how-much-does-a-cedar-roof-cost/,2026-05-03,"Source: Ontario / Canada range. JD Wood Revival Canada 2025: cedar roof $14–$18/sqft installed = $1,400–$1,800/square installed. Material-only cedar shingles ~$600–$900/square. Use $750 for material-only mid-grade. Muskoka premium likely 10–15% above GTA pricing"
exterior,Asphalt Shingles 30-Year Architectural (per square = 100 sqft),square,,175.00,,https://www.renoassistance.ca/en/residential/resources-inspirations/article/roof-replacement-cost,2026-05-03,Source: Ontario / Canada range. RenoAssistance 2026: asphalt $7/sqft installed = $700/square installed. Material-only architectural shingles ~$120–$250/square (US data). Canadian equivalent ~$150–$200/square for 30-yr architectural. Use $175. Manual supplier quote recommended
exterior,Composite Decking Board (per linear foot),lf,,15.00,,https://www.absolutehomeservices.ca/blog/cost-of-composite-decking,2026-05-03,Source: Ontario / Canada range. Absolute Home Services Canada: Fiberon/Fortress mid-tier $12–$16/sqft (boards). 5/4x6 composite board ~12 sqft/12 LF = ~$12–$16/LF. Use $15. Trex/TimberTech premium: ~$20–$28/LF. Manual supplier quote recommended
exterior,"5/4"" Pressure-Treated Decking Board (per linear foot)",lf,,5.00,,https://gvdeck.ca/vaughan-deck-building-costs-in-2025-materials-labour-permit-fees,2026-05-03,"Source: Ontario / Canada range. GV Decks Vaughan 2025: standard 5/4"" PT boards $4–$6/LF. Ontario pricing consistent across multiple sources. Use $5.00. Add Muskoka delivery charge if ordering from distant yard"
demo,Demo Allowance per Room (lump sum estimate),lump_sum,,1200.00,,https://homeguide.com/costs/drywall-installation-cost,2026-05-03,"Source: Ontario contractor range. Estimated 1-day labour + debris removal for standard 12x12 room demo. $800–$1,800 depending on scope. Muskoka carpenter rate $32–$48/hr x 8hr + disposal. Use $1,200 as mid-range. Site-specific"
demo,Disposal Fee (per ton),ton,,120.00,,https://york1.com/services/bin-rental/muskoka/,2026-05-03,Source: Ontario / Muskoka waste management range. YORK1 Bracebridge/Muskoka: $5/day rental standard; overweight fees ~$120/tonne above included weight. Muskoka/Simcoe waste tip fees ~$80–$140/tonne. Use $120/tonne. Verify with Muskoka District Municipality waste facility
trades_labour,Drywaller (per sqft installed — hang tape finish),sqft,,2.00,,https://csgrenovation.ca/blog/drywall-cost-per-square-foot/,2026-05-03,Source: Ontario / Canada range. CSG Renovation Canada: drywall labour $1.00–$2.70/sqft. Full hang+tape+finish: $1.50–$3.50/sqft total. Use $2.00/sqft labour. Muskoka contractors may quote per-sheet or day rate
trades_labour,Painter (per sqft two-coat),sqft,,2.00,,https://homeguide.com/costs/drywall-installation-cost,2026-05-03,Source: Ontario / Canada range. Ontario painter two-coat: typically $1.50–$3.00/sqft labour. Use $2.00 for standard rooms. Trim/detailed work higher. Muskoka painters often price per room or day
trades_labour,Tile Setter (per sqft),sqft,,14.00,,https://www.dupontplumbing.com/blogs/the-good-book-of-bath/bathroom-renovation-costs-in-toronto-what-to-expec/,2026-05-03,Source: Ontario / Canada range. Dupont Plumbing Toronto 2025: tile installation $12–$20/sqft labour. Muskoka: $12–$18/sqft typical. Use $14/sqft
trades_labour,Flooring Installer – Hardwood (per sqft),sqft,,4.00,,https://www.renocalc.ca/en/blog/flooring-installation-cost-canada,2026-05-03,Source: Ontario / Canada range. RenoCalc Canada 2026: hardwood installation labour $2–$4/sqft. Muskoka contractors ~$3–$5/sqft. Use $4.00
trades_labour,Flooring Installer – LVP (per sqft),sqft,,2.50,,https://www.renocalc.ca/en/blog/flooring-installation-cost-canada,2026-05-03,Source: Ontario / Canada range. RenoCalc Canada 2026: LVP installation labour $1.50–$3.00/sqft. Use $2.50 for Muskoka mid-tier
